date,number
2020-10,7
2020-11,8
2020-12,11
2021-01,5
2021-02,9
2021-03,17
2021-04,16
2021-05,29
2021-06,76
2021-07,59
2021-08,21
2021-09,61
2021-10,88
2021-11,75
2021-12,68
2022-01,80
2022-02,44
2022-03,74
2022-04,145
2022-05,185
2022-06,187
2022-07,293
2022-08,348
2022-09,392
2022-10,412
2022-11,521
2022-12,931
2023-01,1075
2023-02,1344
2023-03,2264
2023-04,3192
2023-05,2778
2023-06,2122
2023-07,3082
2023-08,2373
2023-09,4015
2023-10,4269
2023-11,4776
2023-12,5962
2024-01,3708
2024-02,3518
2024-03,2063
2024-04,3287
2024-05,3593
2024-06,2171
2024-07,1861
2024-08,1496
2024-09,1272
2024-10,1298
2024-11,863
2024-12,844
2025-01,530
2025-02,129
2025-03,60